0. 0. -14.92 1.36 1.269
10083.31 97.57 -3.01 0.63 -1.818
10199. 97.69 -10.2 1.1 0.952
10369. 97.8 -11.45 1.44 -0.769
10597.23 97.9 -4.84 0.92 -1.185
10889.20 98.05 -6.57 1.86 -0.487
11253.98 98.17 2.84 0.74 -0.06
11703.01 98. -2.24 0.60 1.265
12251.63 98.42 15.72 0.36 1.651
12920.46 98.55 -2.99 0.97 1.325
13737.68 98.69 -9.91 0.68 0.9
13486.36 98.8 2.2 -0.33 0.392
12708.24 98.97 -7.73 2.37 -0.056
12068.85 99.1 -2.92 0.13 1.795
11542.65 99.27 4.21 0.5 0.606
11110.82 99.43 7.09 2.31 1.172
10759.31 99.59 1.97 0. -0.279
10477.60 99.7 0.60 1.67 0.215
10257.84 99.95 -6.00 -0.0 -0.059
10094.25 100.14 -1.81 2.22 3.278
10244.23 102.97 5.52 0.05 0.767
10450.06 106. 2.05 -1.18 2.262
10717.37 112.02 -6.85 1.0 1.36
11053.81 118.49 10.33 1.35 0.05
11469.71 126.51 4.23 0.61 0.362
11978.81 136.34 3.10 0.02 -0.251
12599.63 148.35 10.01 2.14 -0.498
13357.24 163.02 2.63 -0.73 -0.509
13658.99 181.03 4.04 -0.65 -1.485
12833.39 203.3 -5.50 2.2 0.541
12155.96 231.29 -9.31 0.70 -0.209
11598.48 267.00 -2.09 1.52 1.548
11140.28 313.73 17.2 0.61 -0.847
10765.98 376.95 -9.09 1.01 0.867
10464.06 466.51 -2.75 0.68 0.827
10225.92 602.12 8.54 0.8 0.267
10045.18 829.76 -4.65 0.21 1.228
9917.23 1287.45 -4.60 0.8 1.331
9838.98 2665.24 -0.9 2.15 1.001
9808.6 9840.94 -0.63 1.63 -0.126
9804.97 9840.94 -7.43 -0.20 -0.064
9801.34 9840.94 5.37 0.02 -1.729
9797.71 9840.94 -6.50 1.45 0.142
9794.08 9840.94 -0.84 0.62 0.112
9790.45 9840.94 2.84 0.59 1.059
9786.81 9840.94 10.3 0.62 0.053
9783.18 9840.94 1.76 0.31 1.188
9779.55 9840.94 6.06 0.72 0.272
9775.92 9840.94 11.99 1.78 0.891
9772.29 9840.94 -11.18 1.74 1.298
9768.6 9840.94 -6.30 0.15 0.583
9765.02 9840.94 -5.01 -0.10 -1.438
9879.14 1551.03 -12.02 1.66 -0.124
10228.33 773.89 -5.48 2.24 1.503
10855.5 518.94 6.92 0. 0.281
11847.54 394.79 -3.75 0.85 -1.416
13368.53 323.26 2.81 -0.69 -1.6
12568.84 278.39 3.75 2.57 0.392
11353.49 249.17 -11.22 0.14 1.666
10569.71 230.24 7.1 -0.05 1.698
10099.9 218.79 -3.57 -0.52 0.373
9883.13 213.34 6.10 1.62 0.568
138.63 9818.56 -3.33 -0.81 0.453
138.73 10051.22 14.62 0.56 0.355
142.18 10537.25 -7.72 -0.01 0.274
149.67 11340.03 1.56 0.6 2.236
162.61 12581.00 -3.79 -0.77 0.037
183.76 13384.42 -2.71 -2.10 0.976
228.01 13343.95 8.17 -1.96 -0.003
272.25 13303.48 -1.47 -1.15 1.636
316.50 13263.01 2.8 -0.27 0.081
360.74 13222.54 -5.89 -1.36 0.813
404.98 13182.0 -16.70 -0.59 3.058
449.23 13141.59 5.7 -0.35 0.232
493.47 13101.12 3.05 -0.77 -0.467
537.72 13060.65 14.03 -2.01 -0.589
581.96 13020.18 -9.33 -1.00 1.32
626.20 12979.71 -8.0 0.53 0.344
